epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,621.406,0.64457,0.38484,0.85483,0.96012,0.91925,0.95542,0.73278,0.82823,0.43151,0.90642,0.000190924,0.000190924,0.000190924
150,625.539,0.66098,0.38885,0.86064,0.93985,0.9343,0.96106,0.74473,0.82025,0.42381,0.90104,0.000187389,0.000187389,0.000187389
151,629.746,0.65272,0.37997,0.85802,0.96458,0.91734,0.95905,0.74172,0.81695,0.42036,0.90226,0.000183855,0.000183855,0.000183855
152,633.97,0.66635,0.38959,0.85801,0.93915,0.93266,0.95844,0.73579,0.8216,0.42793,0.90297,0.000180321,0.000180321,0.000180321
153,638.218,0.63853,0.38357,0.85482,0.95418,0.92707,0.96065,0.7351,0.82705,0.42932,0.90355,0.000176786,0.000176786,0.000176786
154,642.413,0.64061,0.3755,0.85571,0.95846,0.91581,0.95766,0.73726,0.82199,0.42435,0.89939,0.000173252,0.000173252,0.000173252
155,646.615,0.66801,0.38635,0.85552,0.95638,0.91717,0.95993,0.74362,0.81936,0.43266,0.90195,0.000169718,0.000169718,0.000169718
156,650.83,0.64732,0.38433,0.85694,0.96017,0.92197,0.96433,0.73918,0.81787,0.43091,0.90297,0.000166183,0.000166183,0.000166183
157,655.043,0.63869,0.37294,0.85524,0.96102,0.91934,0.95738,0.74268,0.81797,0.43168,0.90226,0.000162649,0.000162649,0.000162649
158,659.113,0.64172,0.37735,0.85497,0.96022,0.92084,0.95839,0.7378,0.8238,0.42404,0.90744,0.000159115,0.000159115,0.000159115
159,663.164,0.65176,0.37679,0.85671,0.96121,0.91781,0.95862,0.7397,0.82096,0.42384,0.9064,0.000155581,0.000155581,0.000155581
160,667.129,0.64204,0.37221,0.85476,0.95497,0.91952,0.95844,0.74244,0.82269,0.43037,0.9053,0.000152046,0.000152046,0.000152046
161,671.141,0.61542,0.36456,0.8475,0.93166,0.94054,0.9603,0.73917,0.82112,0.42359,0.90226,0.000148512,0.000148512,0.000148512
162,675.137,0.63325,0.37199,0.85619,0.94341,0.93468,0.95697,0.73676,0.81616,0.42624,0.90124,0.000144978,0.000144978,0.000144978
163,679.155,0.63097,0.36937,0.853,0.93459,0.94115,0.95648,0.73502,0.82317,0.42581,0.90455,0.000141443,0.000141443,0.000141443
164,683.156,0.6375,0.37073,0.85956,0.95902,0.91257,0.95848,0.74185,0.82173,0.42254,0.90226,0.000137909,0.000137909,0.000137909
165,687.167,0.63741,0.37563,0.85626,0.93727,0.93994,0.95729,0.73916,0.81997,0.42915,0.90039,0.000134375,0.000134375,0.000134375
166,691.169,0.63864,0.36957,0.85639,0.95198,0.92002,0.95766,0.73777,0.81713,0.4237,0.89958,0.000130841,0.000130841,0.000130841
167,695.172,0.64299,0.37275,0.8519,0.95228,0.9209,0.95479,0.7345,0.81623,0.42327,0.89891,0.000127306,0.000127306,0.000127306
168,699.131,0.64621,0.37064,0.85802,0.95286,0.93171,0.96127,0.74125,0.81552,0.42301,0.89674,0.000123772,0.000123772,0.000123772
169,703.137,0.62169,0.359,0.85319,0.95998,0.92611,0.95579,0.74176,0.82149,0.4206,0.89793,0.000120238,0.000120238,0.000120238
170,707.146,0.61728,0.36245,0.84652,0.93643,0.93977,0.95586,0.73616,0.81332,0.42207,0.89694,0.000116703,0.000116703,0.000116703
171,711.165,0.61291,0.36391,0.84634,0.9459,0.93439,0.95655,0.73968,0.81348,0.41931,0.89843,0.000113169,0.000113169,0.000113169
172,715.176,0.62901,0.36839,0.845,0.93865,0.93545,0.95565,0.73528,0.81733,0.42105,0.89942,0.000109635,0.000109635,0.000109635
173,719.186,0.63434,0.36909,0.85255,0.93889,0.93379,0.95671,0.73329,0.81608,0.42084,0.89925,0.0001061,0.0001061,0.0001061
174,723.176,0.61475,0.35522,0.84961,0.95052,0.92604,0.95848,0.73309,0.8133,0.42039,0.89791,0.000102566,0.000102566,0.000102566
175,727.191,0.62536,0.35992,0.85157,0.9431,0.93382,0.96062,0.73979,0.81071,0.41723,0.90103,9.90318e-05,9.90318e-05,9.90318e-05
176,731.193,0.59625,0.35046,0.84699,0.93118,0.94386,0.95549,0.73692,0.81105,0.42807,0.9006,9.54975e-05,9.54975e-05,9.54975e-05
177,735.201,0.62071,0.36165,0.85601,0.93347,0.94297,0.95279,0.74365,0.81331,0.42491,0.90026,9.19632e-05,9.19632e-05,9.19632e-05
178,739.222,0.61832,0.36434,0.85133,0.92555,0.94548,0.95426,0.73943,0.81269,0.42628,0.90007,8.84289e-05,8.84289e-05,8.84289e-05
179,743.249,0.60906,0.35493,0.84774,0.94022,0.93538,0.95533,0.73311,0.81093,0.4244,0.90034,8.48946e-05,8.48946e-05,8.48946e-05
